Raw rows from actual_unit_background:
================================================================================
(100131, '春咲 日和', 4, 510100)
(100231, '草野 優衣', 2, 510220)
(100331, '士条 怜', 2, 510350)
(100431, '穗高 禊', 4, 510340)
(100531, '織原 茉莉', 4, 510010)
(100631, '風宮 茜里', 8, 510120)
(100731, '出雲 宮子', 4, 510090)
(100831, '虹村 雪', 2, 510300)
(100931, '柊 杏奈', 4, 510300)
(101032, '姬宮 真步', 4, 510030)
(101131, '衣之咲 璃乃', 9, 510360)
(101231, '柏崎 初音', 9, 510330)
(101332, '丹野 七七香', 4, 510300)
(101431, '霧原 霞', 2, 510221)
(101532, '愛川 美里', 4, 510070)
(101631, '美波 鈴奈', 2, 510300)
(101731, '喜屋武 香織', 9, 510050)
(101831, '支倉 伊緒', 2, 510220)
(102031, '茜 美美', 4, 510330)
(102131, '栗林 胡桃', 2, 510100)
